index,CSVname,well,time,Number of Spikes,Mean Firing Rate (Hz),Number of Active Electrodes,Weighted Mean Firing Rate (Hz),ISI Coefficient of Variation - Avg,Number of Bursts,Number of Bursting Electrodes,Burst Duration - Avg (s),Burst Duration - Std (s),Number of Spikes per Burst - Avg,Number of Spikes per Burst - Std,Mean ISI within Burst - Avg,Mean ISI within Burst - Std,Median ISI within Burst - Avg,Median ISI within Burst - Std,Inter-Burst Interval - Avg (s),Inter-Burst Interval - Std (s),Burst Frequency - Avg (Hz),Burst Frequency - Std (Hz),Normalized Duration IQR - Avg,Normalized Duration IQR - Std,IBI Coefficient of Variation - Avg,IBI Coefficient of Variation - Std,Burst Percentage - Avg,Burst Percentage - Std,Number of Network Bursts,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Duration - Std (sec),Number of Spikes per Network Burst - Avg,Number of Spikes per Network Burst - Std,Number of Elecs Participating in Burst - Avg,Number of Elecs Participating in Burst - Std,Number of Spikes per Network Burst per Channel - Avg,Number of Spikes per Network Burst per Channel - Std,Network Burst Percentage,Network ISI Coefficient of Variation,Area Under Normalized Cross-Correlation,Area Under Cross-Correlation,Width at Half Height of Normalized Cross-Correlation,Width at Half Height of Cross-Correlation,Synchrony Index,average_connection_strength,connection_density,average_transmission_speed,disease_status
26,1,A10,0-100,3117,3.906015,8,3.906015,3.920593,115,8,0.257187,0.183301,23.553488,26.274644,0.016692,0.007261,0.012979,0.006961,7.515941,2.656226,0.14411,0.052486,0.463449,0.350068,0.758642,0.300872,74.571096,20.418234,10,0.100251,0.989312,0.199582,281.1,52.758254,8,0,35.1375,6.594782,90.182868,5.65038,0.446212,10.320802,38,138,0.706547,1787.75,1,211.7059239,0
27,2,A10,0-100,2661,3.334586,7,3.80666,3.539065,133,6,0.164434,0.07917,16.088126,8.592935,0.012643,0.004288,0.008534,0.003593,3.483175,0.514198,0.222222,0.108792,0.64911,0.310005,0.836068,0.096013,59.386007,47.173337,19,0.190476,0.488851,0.190883,135.421053,40.090614,6.842105,0.764719,19.622243,5.20714,96.692973,7.753902,0.397632,9.07662,30,108,0.555198,1455.642857,1,307.6695945,0
28,3,A10,0-100,4977,6.236842,8,6.236842,2.78188,138,6,0.456617,0.211635,30.973941,13.189478,0.017589,0.007987,0.012311,0.007768,4.458328,0.930886,0.230576,0.043928,0.528021,0.204501,0.563897,0.127174,63.008463,40.364445,18,0.180451,1.069004,0.269161,230.277778,59.695113,7.333333,0.594089,31.359127,7.43049,83.283102,2.842443,0.439372,15.195131,37,141,0.590574,2731.464286,1,177.9362864,0
29,3,A10,100-200,5054,6.333333,8,6.333333,2.695809,148,6,0.418537,0.172197,28.988407,9.670166,0.017508,0.008597,0.012076,0.008524,4.106764,0.74411,0.247285,0.051379,0.431612,0.248118,0.406238,0.112117,63.795286,40.501055,21,0.210526,0.964072,0.246805,203.095238,34.089448,7.52381,0.601585,27.174603,5.18812,84.388603,2.982406,0.417721,16.587182,46,154,0.637502,2935.25,1,178.6532498,0
30,4,A10,100-200,7194,9.015038,8,9.015038,3.154292,154,7,0.398913,0.233804,38.909967,29.736438,0.018088,0.007142,0.013894,0.007734,5.852505,4.578834,0.220551,0.094576,0.694913,0.319833,0.890802,0.137211,66.864924,32.26929,15,0.150376,1.27576,0.439748,415,146.421115,7.533333,0.516398,55.378571,20.477775,86.530442,3.672092,0.424888,32.931257,11,144,0.673137,6590.892857,1,168.8902639,0
31,2,A10,100-200,2963,3.713033,7,4.237737,3.650206,143,5,0.182606,0.079303,18.683375,7.599895,0.011275,0.003233,0.007365,0.002311,3.583512,0.46648,0.286717,0.0337,0.475132,0.190363,0.840717,0.116238,58.031505,48.247909,19,0.190476,0.573815,0.195024,150.105263,40.114966,6.894737,0.657836,22.062657,6.638387,96.253797,7.365978,0.41835,10.085213,30,108,0.559798,1611.785714,1,186.1082592,0
32,1,A10,100-200,3126,3.917293,8,3.917293,4.049929,101,8,0.297208,0.199346,24.80051,23.975837,0.017167,0.005703,0.013669,0.006345,9.585162,5.374319,0.126566,0.053569,0.518922,0.460038,0.713786,0.228414,72.57434,22.866275,10,0.100251,1.134408,0.226567,286.3,39.813593,8,0,35.7875,4.976699,91.586692,5.884389,0.517978,10.522735,29,124,0.709559,1836.964286,1,188.6532492,0
33,4,A10,150-250,7361,9.224311,8,9.224311,3.193185,160,7,0.398343,0.238838,39.230979,30.124158,0.017826,0.006074,0.013667,0.006496,5.343243,3.578512,0.229144,0.088051,0.579183,0.218406,0.902188,0.197931,67.73755,32.235936,14,0.140351,1.323606,0.461701,456.928571,183.288115,7.714286,0.468807,58.899235,22.223699,86.903953,3.634896,0.423662,34.387039,9,148,0.69678,6807.535714,1,165.9819028,0
34,3,A10,150-250,5238,6.56391,8,6.56391,2.706646,151,6,0.42048,0.166434,29.501686,9.389524,0.016904,0.007433,0.011482,0.006947,4.095082,0.624204,0.252297,0.039807,0.373842,0.216292,0.450689,0.060827,64.367021,40.635428,22,0.220551,0.893847,0.139326,203.409091,32.261815,7.5,0.672593,27.208333,3.967773,85.433372,3.228552,0.440978,17.802721,47,156,0.661456,3135.857143,1,180.9618901,0
35,1,A10,150-250,3064,3.839599,8,3.839599,3.922239,98,8,0.286821,0.180692,24.956673,25.115315,0.017314,0.00855,0.013684,0.009769,8.701144,4.663493,0.122807,0.061741,0.4499,0.174382,0.532647,0.289436,69.716188,27.569925,11,0.110276,0.925629,0.20039,254.818182,35.479059,8,0,31.852273,4.434882,91.481723,5.731127,0.511969,10.610455,32,130,0.717317,1854.321429,1,197.6697311,0
36,2,A10,150-250,2585,3.239348,7,3.690655,3.623677,123,5,0.18435,0.08601,18.77154,7.912973,0.011247,0.003489,0.007353,0.002721,4.001889,0.648233,0.246617,0.042886,0.546287,0.426212,0.926338,0.133722,57.600216,47.943625,17,0.170426,0.499186,0.217656,143.470588,47.332755,7.117647,0.600245,20.494398,7.51948,94.352031,7.154887,0.428758,8.912281,30,105,0.591286,1414.5,1,191.374522,0
37,2,A10,200-300,2739,3.467089,8,3.467089,3.273341,125,5,0.193997,0.081761,19.528184,8.175028,0.011343,0.003399,0.007463,0.003005,3.76919,0.752218,0.253165,0.044718,0.551489,0.294106,0.859296,0.156383,57.451818,47.956413,18,0.182278,0.520289,0.204702,146.277778,42.769981,7.111111,0.582983,20.734127,6.343217,96.129974,6.888012,0.412298,9.467269,26,112,0.576175,1502.607143,1,181.703703,0
38,1,A10,200-300,3405,4.310127,8,4.310127,3.986967,112,8,0.302137,0.193783,25.366685,23.848236,0.016956,0.006325,0.013293,0.008049,9.175777,6.835559,0.141772,0.059787,0.417546,0.160461,0.716365,0.309133,73.867591,21.848872,12,0.121519,0.915173,0.224381,258.75,32.192955,8,0,32.34375,4.024119,91.189427,5.384575,0.505381,11.976492,32,137,0.731717,2153.535714,1,186.692508,0
