index,CSVname,well,time,Number of Spikes,Mean Firing Rate (Hz),Number of Active Electrodes,Weighted Mean Firing Rate (Hz),ISI Coefficient of Variation - Avg,Number of Bursts,Number of Bursting Electrodes,Burst Duration - Avg (s),Burst Duration - Std (s),Number of Spikes per Burst - Avg,Number of Spikes per Burst - Std,Mean ISI within Burst - Avg,Mean ISI within Burst - Std,Median ISI within Burst - Avg,Median ISI within Burst - Std,Inter-Burst Interval - Avg (s),Inter-Burst Interval - Std (s),Burst Frequency - Avg (Hz),Burst Frequency - Std (Hz),Normalized Duration IQR - Avg,Normalized Duration IQR - Std,IBI Coefficient of Variation - Avg,IBI Coefficient of Variation - Std,Burst Percentage - Avg,Burst Percentage - Std,Number of Network Bursts,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Duration - Std (sec),Number of Spikes per Network Burst - Avg,Number of Spikes per Network Burst - Std,Number of Elecs Participating in Burst - Avg,Number of Elecs Participating in Burst - Std,Number of Spikes per Network Burst per Channel - Avg,Number of Spikes per Network Burst per Channel - Std,Network Burst Percentage,Network ISI Coefficient of Variation,Area Under Normalized Cross-Correlation,Area Under Cross-Correlation,Width at Half Height of Normalized Cross-Correlation,Width at Half Height of Cross-Correlation,Synchrony Index,average_connection_strength,connection_density,average_transmission_speed,disease_status
1824,1,H4,50-150,1330,1.666667,7,1.904762,1.932954,72,5,0.227456,0.084896,9.814582,2.835046,0.028413,0.00904,0.024828,0.00989,7.569097,2.225664,0.144361,0.052858,0.451952,0.312078,0.39274,0.081388,45.461888,35.491581,8,0.080201,0.47075,0.148243,64.25,8.293715,6,0.755929,10.829762,1.736265,38.646617,3.231338,0.237255,1.07662,10,80,0.417769,270.0952381,0.75,185.883153,1
1825,1,H6,0-100,901,1.129073,5,1.794486,3.296932,41,5,0.236982,0.116938,12.906154,12.666265,0.02878,0.016614,0.026043,0.017357,12.752668,9.821976,0.082206,0.054634,0.699225,0.416905,0.446469,0.060983,51.144401,44.902301,10,0.100251,0.57464,0.080037,74.6,12.54503,5.5,0.527046,13.733333,2.938253,82.796892,7.070175,0.092611,0.675618,18,147,0.356445,280.7333333,0.535714286,159.7014943,1
1826,1,H6,100-200,941,1.179198,6,1.570593,2.805108,39,5,0.244477,0.088718,13.765385,12.810153,0.027595,0.013427,0.022803,0.014299,11.600351,4.846635,0.078195,0.048805,0.436254,0.278932,0.361579,0.182602,42.476057,43.00318,11,0.110276,0.486095,0.107142,73.272727,11.731078,5.818182,0.40452,12.59697,1.790745,85.65356,6.296566,0.104178,0.792338,16,140,0.296801,326.9333333,0.535714286,127.1386723,1
1827,1,H6,150-250,991,1.241855,5,1.966917,3.217387,42,5,0.234253,0.114007,13.118571,12.632679,0.027366,0.015914,0.023602,0.017305,11.21962,5.434947,0.084211,0.056976,0.597626,0.368795,0.417279,0.213132,42.029101,45.651543,13,0.130326,0.520929,0.10652,70.307692,13.312805,5.461538,0.518875,12.907692,2.305997,92.230071,6.310645,0.100361,0.832796,16,134,0.285139,344.4666667,0.535714286,135.6662711,1
1828,1,H6,200-300,992,1.255696,6,1.672574,2.897145,45,5,0.249822,0.108143,13.259524,11.988357,0.02854,0.016014,0.024477,0.017023,22.177176,23.224257,0.091139,0.056382,0.429911,0.249476,0.349983,0.215263,45.402141,45.613483,13,0.131646,0.530732,0.078217,69.692308,12.078801,5.384615,0.50637,13.023077,2.400902,91.330645,6.319545,0.127728,0.878119,13,111,0.300621,340.6666667,0.535714286,153.6196348,1
1829,1,H6,50-150,903,1.131579,6,1.508772,2.831738,40,5,0.248797,0.100663,13.399084,12.767167,0.029098,0.014475,0.024934,0.015011,14.938534,9.274209,0.080201,0.04539,0.610924,0.279795,0.461533,0.136499,52.462222,39.395527,10,0.100251,0.538512,0.110879,74.4,13.541705,5.7,0.483046,13.216667,3.094489,82.392027,6.749439,0.115266,0.713212,30,157,0.400736,282.8,0.535714286,132.3883866,1
1830,3,H7,0-100,1359,1.703008,7,1.941998,1.982634,66,5,0.204329,0.109927,8.637745,3.347045,0.029143,0.010776,0.026778,0.015812,8.77168,5.392486,0.132331,0.119966,0.433689,0.216502,0.611426,0.228084,31.355541,34.357341,9,0.090226,0.912747,0.149382,74.333333,18.090053,6.888889,0.333333,10.875661,3.023382,49.227373,2.298656,0.116427,0.553527,15,63,0.175198,96.81481481,0.964285714,115.6073533,1
1831,3,H7,100-200,1391,1.743108,7,1.990691,2.099244,65,5,0.220546,0.121141,9.223324,3.7935,0.030064,0.012837,0.027373,0.015123,10.361539,7.961601,0.130326,0.089667,0.995648,0.710756,0.629263,0.262659,32.177602,32.70089,8,0.080201,0.92699,0.337571,88.125,35.566587,7.125,0.353553,12.303571,4.769581,50.682962,2.774186,0.112634,0.664876,2,46,0.191315,130.1153846,0.928571429,107.7239229,1
1832,3,H7,150-250,1438,1.802005,7,2.055138,2.091302,67,6,0.228218,0.12354,9.280374,3.682392,0.031028,0.012917,0.028852,0.015857,24.037632,34.158363,0.111947,0.095405,0.60766,0.32353,0.70779,0.070867,36.198736,32.506454,9,0.090226,0.875324,0.228678,86.222222,32.29078,7.111111,0.600925,12.054894,4.206954,53.963839,2.69537,0.101441,0.704977,7,98,0.202706,139.2592593,0.964285714,113.6331039,1
1833,3,H7,200-300,1430,1.810127,7,2.062929,2.151972,67,6,0.243396,0.115317,9.510489,3.474329,0.031962,0.010862,0.028911,0.014449,15.689973,15.725689,0.11308,0.099718,0.53537,0.073874,0.619798,0.168972,37.006082,33.083493,9,0.091139,0.944267,0.321605,90,46.227697,7.111111,0.600925,12.469577,5.64436,56.643357,2.585375,0.117906,0.79783,9,113,0.230574,164.3846154,0.928571429,137.627007,1
1834,3,H7,50-150,1364,1.709273,7,1.952023,1.995835,65,5,0.228301,0.10796,8.729966,3.294611,0.03251,0.012939,0.029399,0.014916,10.982326,6.883842,0.130326,0.10959,0.668982,0.170832,0.709061,0.216982,30.264751,32.301468,8,0.080201,0.99253,0.278621,79.5,30.896139,6.875,0.353553,11.645833,4.668774,46.627566,2.375689,0.108942,0.537773,3,25,0.14974,122.0952381,0.75,146.6019686,1
1835,2,H8,0-100,1663,2.08396,7,2.381668,2.125994,76,6,0.301498,0.136541,10.320317,4.327055,0.036799,0.015589,0.03262,0.015119,14.061136,13.90136,0.126984,0.082344,0.596545,0.384037,0.589895,0.146185,42.527563,27.483965,12,0.120301,0.834127,0.185677,78.416667,12.018609,6.416667,0.668558,12.295635,1.972796,56.584486,2.948058,0.164471,1.006087,32,154,0.291841,289.75,0.714285714,114.859604,1
1836,3,H8,0-100,2924,3.66416,8,3.66416,2.965523,113,7,0.224334,0.139539,19.146395,12.307925,0.014758,0.00198,0.01047,0.003887,5.510431,0.454439,0.161833,0.068344,0.485471,0.11771,0.452952,0.074255,64.857614,36.737167,16,0.160401,0.662655,0.14705,162.625,30.46063,7.375,0.5,22.132812,4.463409,88.987688,4.713503,0.531193,9.068743,5,74,0.607731,1721.928571,1,160.6791987,1
1837,3,H8,100-200,2833,3.550125,8,3.550125,3.156378,117,6,0.236889,0.12306,19.794476,8.995817,0.013778,0.001913,0.008313,0.002099,5.040483,0.330523,0.195489,0.016473,0.556148,0.077873,0.540056,0.035707,63.790775,39.512393,17,0.170426,0.652047,0.203626,146.176471,28.701558,7.235294,0.562296,20.14916,3.4402,87.716202,4.549371,0.505783,9.207304,6,94,0.606453,1595.535714,1,184.8312839,1
1838,2,H8,100-200,1769,2.216792,7,2.533477,2.103299,83,5,0.31868,0.134639,10.890476,3.910126,0.035887,0.014544,0.031164,0.017422,6.703485,3.682501,0.166416,0.087281,0.514798,0.362962,0.619008,0.341202,40.182855,30.516483,12,0.120301,0.872913,0.650743,77.416667,16.632161,6.583333,0.668558,11.836111,2.519074,52.515546,2.872542,0.162038,1.03473,21,162,0.316591,271.8095238,0.75,153.8101468,1
1839,3,H8,150-250,2885,3.615288,8,3.615288,3.016149,115,6,0.232635,0.124861,20.740716,9.463723,0.012221,0.001269,0.007646,0.001705,5.131496,0.50858,0.192147,0.017267,0.459175,0.165301,0.38448,0.062033,64.426696,39.994308,16,0.160401,0.657815,0.184588,156.3125,24.651487,7.4375,0.512348,21.008929,2.916664,86.689775,4.754855,0.493893,9.816685,6,103,0.625321,1786.678571,1,194.3665492,1
1845,2,H8,150-250,1737,2.176692,7,2.487648,2.037618,81,5,0.3151,0.139624,10.899935,3.81559,0.034793,0.01625,0.030938,0.017771,8.703004,7.790949,0.162406,0.082486,0.711222,0.446993,0.715793,0.287284,40.061596,30.257734,12,0.120301,0.743613,0.319448,73.5,13.853126,6.416667,0.668558,11.571429,2.505467,50.777202,2.734561,0.156968,0.960974,18,138,0.294896,258.6190476,0.75,155.1545974,1
1846,2,H8,200-300,1797,2.274684,7,2.599638,2.098489,93,5,0.305117,0.118392,10.266667,3.470959,0.036604,0.013578,0.032018,0.015515,6.979486,5.211483,0.188354,0.090178,0.677786,0.506805,0.665626,0.202882,42.114988,31.2846,14,0.141772,0.805857,0.205678,71.071429,15.813647,6.285714,0.726273,11.360204,2.389306,55.370061,3.049657,0.149428,1.025678,24,148,0.291538,276.1904762,0.75,165.0717958,1
1847,3,H8,200-300,2869,3.631646,7,4.144665,3.172295,117,7,0.213175,0.141405,18.447236,11.573045,0.013106,0.001942,0.008934,0.002559,4.93709,0.429587,0.169259,0.071776,0.418961,0.087174,0.53032,0.077434,64.439243,37.073521,16,0.162025,0.622075,0.14557,155.125,25.580917,7.25,0.447214,21.398438,3.3458,86.510979,4.9078,0.48987,9.231826,4,96,0.60317,1666.142857,1,199.3574735,1
1848,3,H8,50-150,3013,3.775689,7,4.307913,3.456512,118,7,0.231558,0.136338,19.113409,11.627132,0.014699,0.002107,0.009867,0.003842,5.027053,0.281623,0.168994,0.070753,0.478861,0.081077,0.578512,0.040801,65.623254,37.722665,17,0.170426,0.648951,0.213116,158.294118,28.600185,7.235294,0.437237,21.997899,4.476763,89.312977,4.748956,0.528724,9.505908,5,79,0.594559,1678.571429,1,161.9627982,1
1849,2,H8,50-150,1723,2.159148,7,2.467598,1.990927,80,5,0.315021,0.144638,10.824842,3.607144,0.034459,0.013533,0.029443,0.014718,8.833512,7.364713,0.160401,0.093776,0.668982,0.380825,0.658607,0.284624,39.051855,29.469042,12,0.120301,0.917873,0.594144,78.333333,15.564139,6.5,0.522233,12.039683,2.046469,54.556007,2.692404,0.166054,1.020766,31,165,0.303493,266.8095238,0.75,123.215215,1
1850,2,H9,0-100,1863,2.334586,6,3.106099,2.292105,73,5,0.384274,0.155272,16.71065,5.659972,0.03029,0.012898,0.026241,0.014141,7.179775,2.347769,0.146366,0.076546,0.8827,0.43648,0.692114,0.045284,38.053458,33.734289,8,0.080201,1.01754,0.44214,128.75,44.242029,6.125,0.991031,20.821131,6.076324,55.287171,3.200598,0.292165,2.244182,8,80,0.347183,423,0.928571429,155.6164818,1
1851,3,H9,0-100,981,1.229323,7,1.399212,3.951881,44,7,0.185441,0.079103,15.184694,9.560048,0.016721,0.004965,0.012531,0.005633,17.523661,5.785239,0.063015,0.014998,0.615493,0.42771,1.088523,0.301668,61.046564,30.607674,4,0.0401,0.5292,0.244273,172.75,53.965267,7.75,0.5,22.379464,6.987452,70.438328,4.331342,0.433642,2.69531,5,87,0.632685,411.9642857,1,252.7014559,1
1852,3,H9,100-200,676,0.847118,7,0.96527,3.782084,27,7,0.189251,0.077347,15.666667,9.683534,0.015458,0.003934,0.010549,0.004602,10.967708,5.877788,0.038668,0.01218,0.458687,0.407316,1.555129,0.141329,59.407375,32.749231,3,0.030075,0.432107,0.279809,147.333333,74.3931,7.666667,0.57735,19.005952,8.765553,65.384615,2.802385,0.42165,1.692803,5,76,0.625808,271.5,1,191.0435052,1
1853,2,H9,100-200,1868,2.340852,6,3.111111,2.22871,82,5,0.321175,0.120961,15.523427,5.821644,0.028509,0.009859,0.02423,0.011807,7.101588,2.905925,0.164411,0.095528,0.639455,0.238411,0.856894,0.236626,38.620615,34.373974,8,0.080201,0.92157,0.331093,125.5,22.940918,6.5,0.534522,19.571429,4.700092,53.747323,3.307053,0.269644,2.255639,8,91,0.350058,421.6538462,0.928571429,161.3478952,1
1854,3,H9,150-250,664,0.83208,7,0.943788,4.66308,22,7,0.292575,0.187111,21.5,16.888729,0.017349,0.002909,0.011231,0.004643,31.022196,17.432728,0.031507,0.01218,1.074074,1.611005,1.531898,0.246298,61.081808,35.225734,2,0.02005,0.68044,0.105048,232,1.414214,8,0,29,0.176777,69.879518,3.188352,0.450301,1.66058,4,55,0.644929,274.5714286,1,203.5978758,1
